codigo_postal,nombre_municipio,total,hombres,mujeres
28166, Valverde de Alcalá,532,282,250
28167, Velilla de San Antonio,12770,6409,6361
28168," Vellón, El",2124,1106,1018
28169, Venturada,2445,1271,1174
28170, Villaconejos,3456,1774,1682
28171, Villa del Prado,7092,3607,3485
28172, Villalbilla,15866,7986,7880
28173, Villamanrique de Tajo,757,394,363
28174, Villamanta,2714,1380,1334
28175, Villamantilla,1567,768,799
28176, Villanueva de la Cañada,22845,11120,11725
28177, Villanueva del Pardillo,17382,8416,8966
28178, Villanueva de Perales,1623,832,791
28179, Villar del Olmo,2219,1102,1117
28180, Villarejo de Salvanés,7629,3790,3839
28181, Villaviciosa de Odón,28152,13619,14533
28182, Villavieja del Lozoya,284,150,134
28183, Zarzalejo,1773,903,870
28901, Lozoyuela-Navas-Sieteiglesias,1461,759,702
28902, Puentes Viejas,697,386,311
28903, Tres Cantos,50187,24325,25862
