codigo_postal,nombre_del_lugar_del_código_postal,comunidad_autónoma,provincia
28293,Zarzalejo,Comunidad de Madrid,Comunidad de Madrid
28294,Robledo de Chavela,Comunidad de Madrid,Comunidad de Madrid
28295,Valdemaqueda,Comunidad de Madrid,Comunidad de Madrid
28296,Santa María de la Alameda,Comunidad de Madrid,Comunidad de Madrid
28297,Santa María de la Alameda,Comunidad de Madrid,Comunidad de Madrid
28300,Aranjuez,Comunidad de Madrid,Comunidad de Madrid
28310,Aranjuez,Comunidad de Madrid,Comunidad de Madrid
28311,Aranjuez,Comunidad de Madrid,Comunidad de Madrid
28312,Aranjuez,Comunidad de Madrid,Comunidad de Madrid
28320,Pinto,Comunidad de Madrid,Comunidad de Madrid
28330,San Martín de la Vega,Comunidad de Madrid,Comunidad de Madrid
28341,Valdemoro,Comunidad de Madrid,Comunidad de Madrid
28342,Valdemoro,Comunidad de Madrid,Comunidad de Madrid
28343,Valdemoro,Comunidad de Madrid,Comunidad de Madrid
28350,Ciempozuelos,Comunidad de Madrid,Comunidad de Madrid
28359,Titulcia,Comunidad de Madrid,Comunidad de Madrid
28360,Villaconejos,Comunidad de Madrid,Comunidad de Madrid
28370,Chinchón,Comunidad de Madrid,Comunidad de Madrid
28380,Colmenar de Oreja,Comunidad de Madrid,Comunidad de Madrid
28390,Belmonte de Tajo,Comunidad de Madrid,Comunidad de Madrid
28391,Valdelaguna,Comunidad de Madrid,Comunidad de Madrid
28400,Collado Villalba,Comunidad de Madrid,Comunidad de Madrid
28410,Manzanares el Real,Comunidad de Madrid,Comunidad de Madrid
28411,Moralzarzal,Comunidad de Madrid,Comunidad de Madrid
28412,El Boalo,Comunidad de Madrid,Comunidad de Madrid
28413,El Boalo,Comunidad de Madrid,Comunidad de Madrid
28420,Galapagar,Comunidad de Madrid,Comunidad de Madrid
28430,Alpedrete,Comunidad de Madrid,Comunidad de Madrid
28440,Guadarrama,Comunidad de Madrid,Comunidad de Madrid
28450,Collado Mediano,Comunidad de Madrid,Comunidad de Madrid
28460,Los Molinos,Comunidad de Madrid,Comunidad de Madrid
28470,Cercedilla,Comunidad de Madrid,Comunidad de Madrid
28479,Cercedilla,Comunidad de Madrid,Comunidad de Madrid
28480,Guadarrama,Comunidad de Madrid,Comunidad de Madrid
28490,Becerril de la Sierra,Comunidad de Madrid,Comunidad de Madrid
28491,Navacerrada,Comunidad de Madrid,Comunidad de Madrid
28492,El Boalo,Comunidad de Madrid,Comunidad de Madrid
28500,Arganda del Rey,Comunidad de Madrid,Comunidad de Madrid
28510,Campo Real,Comunidad de Madrid,Comunidad de Madrid
28511,Valdilecha,Comunidad de Madrid,Comunidad de Madrid
28512,Villar del Olmo,Comunidad de Madrid,Comunidad de Madrid
28514,Nuevo Baztán,Comunidad de Madrid,Comunidad de Madrid
28515,Olmeda de las Fuentes,Comunidad de Madrid,Comunidad de Madrid
28521,Rivas-Vaciamadrid,Comunidad de Madrid,Comunidad de Madrid
28522,Rivas-Vaciamadrid,Comunidad de Madrid,Comunidad de Madrid
28523,Rivas-Vaciamadrid,Comunidad de Madrid,Comunidad de Madrid
28524,Rivas-Vaciamadrid,Comunidad de Madrid,Comunidad de Madrid
28530,Morata de Tajuña,Comunidad de Madrid,Comunidad de Madrid
28540,Perales de Tajuña,Comunidad de Madrid,Comunidad de Madrid
28550,Tielmes,Comunidad de Madrid,Comunidad de Madrid
28560,Carabaña,Comunidad de Madrid,Comunidad de Madrid
28570,Orusco de Tajuña,Comunidad de Madrid,Comunidad de Madrid
28580,Ambite,Comunidad de Madrid,Comunidad de Madrid
28590,Villarejo de Salvanés,Comunidad de Madrid,Comunidad de Madrid
28594,Valdaracete,Comunidad de Madrid,Comunidad de Madrid
28595,Estremera,Comunidad de Madrid,Comunidad de Madrid
28596,Brea de Tajo,Comunidad de Madrid,Comunidad de Madrid
28597,Fuentidueña de Tajo,Comunidad de Madrid,Comunidad de Madrid
28598,Villamanrique de Tajo,Comunidad de Madrid,Comunidad de Madrid
28600,Navalcarnero,Comunidad de Madrid,Comunidad de Madrid
